Product Title,URL,Old Price,New Price,Discount,Discount %
Librat me te fundit dhe bestseller ne shitje | GjirafaMall ne,https://gjirafamall.com/librari,17.70,17.7,$0.0,0.0%
"Teknologjia e fundit per pune, gaming dhe studime | GjirafaMall ",https://gjirafamall.com/teknologji,29.90,29.9,$0.0,0.0%
